START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/21/24,07:45 PM,07:45 PM,Orioles at Cardinals,Busch Stadium - St. Louis,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/21/24,05/21/24,10:45 PM,10:45 PM,FALSE,TRUE,05/21/24,06:45 PM,06:45 PM,FREE,BUSY
05/22/24,01:15 PM,01:15 PM,Orioles at Cardinals,Busch Stadium - St. Louis,"Local TV: MASN 2- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/22/24,05/22/24,04:15 PM,04:15 PM,FALSE,TRUE,05/22/24,12:15 PM,12:15 PM,FREE,BUSY
05/23/24,07:40 PM,07:40 PM,Orioles at White Sox,Guaranteed Rate Field - Chicago,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/23/24,05/23/24,10:40 PM,10:40 PM,FALSE,TRUE,05/23/24,06:40 PM,06:40 PM,FREE,BUSY
05/24/24,07:40 PM,07:40 PM,Orioles at White Sox,Guaranteed Rate Field - Chicago,"Local TV: Apple TV+ ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/24/24,05/24/24,10:40 PM,10:40 PM,FALSE,TRUE,05/24/24,06:40 PM,06:40 PM,FREE,BUSY
05/25/24,02:10 PM,02:10 PM,Orioles at White Sox,Guaranteed Rate Field - Chicago,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/25/24,05/25/24,05:10 PM,05:10 PM,FALSE,TRUE,05/25/24,01:10 PM,01:10 PM,FREE,BUSY
05/26/24,02:10 PM,02:10 PM,Orioles at White Sox,Guaranteed Rate Field - Chicago,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/26/24,05/26/24,05:10 PM,05:10 PM,FALSE,TRUE,05/26/24,01:10 PM,01:10 PM,FREE,BUSY
05/27/24,01:05 PM,01:05 PM,Red Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/27/24,05/27/24,04:05 PM,04:05 PM,FALSE,TRUE,05/27/24,12:05 PM,12:05 PM,FREE,BUSY
05/28/24,06:35 PM,06:35 PM,Red Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/28/24,05/28/24,09:35 PM,09:35 PM,FALSE,TRUE,05/28/24,05:35 PM,05:35 PM,FREE,BUSY
05/29/24,06:35 PM,06:35 PM,Red Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/29/24,05/29/24,09:35 PM,09:35 PM,FALSE,TRUE,05/29/24,05:35 PM,05:35 PM,FREE,BUSY
05/31/24,07:05 PM,07:05 PM,Rays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN 2 ----- Local Radio: 98 Rock FM/HD2 97.9- WBAL NewsRadio AM/FM",05/31/24,05/31/24,10:05 PM,10:05 PM,FALSE,TRUE,05/31/24,06:05 PM,06:05 PM,FREE,BUSY
